asin,title,author,narrator,runtime_minutes,runtime_hours,price_usd,star_rating,review_count,value_score,cost_per_hour_usd,credit_worth_ratio,worth_using_credit,categories,cover_image_url,detail_page_url
B0BK9R53FT,SPQR,"Mary Beard, Silvia Furió - translator",Neus Sendra,1049,17.48,15.65,4.5,7,5.03,0.90,1.05,Yes,Non-Fiction | History | Science,https://m.media-amazon.com/images/I/511uvcPR8JL._SL500_.jpg,https://www.amazon.com/dp/B0BK9R53FT
B004VMD7BW,The Grapes of Wrath,"John Steinbeck, Robert DeMott, Robert DeMott - introduction",Dylan Baker,1261,21.02,19.07,4.5,1441,4.96,0.91,1.28,Yes,Fiction | Classic | Historical Fiction,https://m.media-amazon.com/images/I/41MpdGpGR7L._SL500_.jpg,https://www.amazon.com/dp/B004VMD7BW
B0FDNJ1GH7,LOVE in the TIME of CHOLERA BOOK SUMMARY,Raja Babu,,1200,20.00,17.57,4.3,1808,4.89,0.88,1.18,Yes,Fiction | Romance | Literary Fiction,https://m.media-amazon.com/images/I/41UeERcQ5VL._SL500_.jpg,https://www.amazon.com/dp/B0FDNJ1GH7
B00WYDJ2YQ,48 Laws of Power,Robert Greene,Richard Poe,1386,23.10,21.60,4.5,2238,4.81,0.94,1.44,Yes,Self-Help | Business | Psychology,https://m.media-amazon.com/images/I/41dTDMW9IhL._SL500_.jpg,https://www.amazon.com/dp/B00WYDJ2YQ
B002V1CJ8W,Outlander,Diana Gabaldon,Davina Porter,1920,32.00,29.99,4.5,56800,4.80,0.94,2.01,Yes,Historical Fiction | Romance | Fantasy | Fiction,https://m.media-amazon.com/images/I/415mLo-ZW6L._SL500_.jpg,https://www.amazon.com/dp/B002V1CJ8W
0008487278,The Fellowship of the Ring,J.R.R. Tolkien,Rob Inglis,1200,20.00,19.99,4.8,95300,4.80,1.00,1.34,Yes,Fantasy | Classic | Fiction,https://m.media-amazon.com/images/I/61irmlqdpWL._SL500_.jpg,https://www.amazon.com/dp/0008487278
B005V0QI82,Steve Jobs,Walter Isaacson,Dylan Baker,1500,25.00,23.99,4.6,41600,4.79,0.96,1.60,Yes,Biography | Business | Non-Fiction,https://m.media-amazon.com/images/I/51S2iJN3DYL._SL500_.jpg,https://www.amazon.com/dp/B005V0QI82
PENDING_0001,The Diary of a Young Girl,Anne Frank,,1140,19.00,15.53,3.9,2962,4.77,0.82,1.04,Yes,Biography | Memoir | History,,
B002UZZ93G,A Game of Thrones,George R.R. Martin,Roy Dotrice,2028,33.80,31.99,4.5,89200,4.75,0.95,2.14,Yes,Fantasy | Epic Fantasy | Fiction,https://m.media-amazon.com/images/I/51y1J8oFBqL._SL500_.jpg,https://www.amazon.com/dp/B002UZZ93G
B0BX4SCV1V,Elon Musk,"Walter Isaacson, Walter Isaacson - introduction",Jeremy Bobb,1239,20.65,21.78,5.0,2353,4.74,1.05,1.46,Yes,Biography | Technology | Business,https://m.media-amazon.com/images/I/41K9V8Va7PL._SL500_.jpg,https://www.amazon.com/dp/B0BX4SCV1V
FINAL_0007,Man Search for Meaning,Viktor E. Frankl,,1200,20.00,17.31,4.1,2913,4.74,0.87,1.16,Yes,Self-Help | Psychology | Philosophy,,
B002V0QCYU,Mistborn: The Final Empire,Brandon Sanderson,Michael Kramer,1500,25.00,24.99,4.7,38900,4.70,1.00,1.67,Yes,Fantasy | Fiction,https://m.media-amazon.com/images/I/61rYqiz8yJL._SL500_.jpg,https://www.amazon.com/dp/B002V0QCYU
